,user_name,question,user_answer,bot_answer
0,Brian,Are you a student?,y,Thanks For Sharing
0,Brian,How was your day?,very exciting actually,Great to Hear!
0,Brian,How many Job Offers have you received?,0,You will get it!
0,heeju,Are you a student?,y,Thanks For Sharing
0,heeju,How was your day?,its ok,I see!
0,heeju,How many Job Offers have you received?,0,You will get it!
0,Mother,Are you a student?,n,Thanks For Sharing
0,Mother,How was your day?,nice,Great to Hear!
0,Mother,How many Job Offers have you received?,0,You will get it!
0,tom,Are you a student?,n,Thanks For Sharing
0,tom,How was your day?,ok,I see!
0,tom,How many Job Offers have you received?,2,Congrats!
